,link,color,status,name,resolution,screensize,screentech,cpu,rom,ram,gpu,size,rear_cam,front_cam,sim,tech,wifi,bluetooth,weigth,os,port,price
0,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb.html,,new,MacBook Pro 13 Touch Bar M1 16GB 256GB 2020,2880 x 1800,15,retina,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,"8 nhân GPU, 16 nhân Neural Engine",34.93 x 24.07 x 1.55,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Four Thunderbolt 3 ports,39.000.000 ₫
1,https://cellphones.com.vn/macbook-air-2020-m1-512gb.html,,new,MacBook Air M1 512GB 2020,1560 x 1600,13,retina,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,"GPU 7 nhân, 16 nhân Neural Engine",32.5 x x 22.7 x x 1.7 cm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,35",MacOS,Thunderbolt,29.990.000 ₫
2,https://cellphones.com.vn/apple-macbook-air-13-2020-256-gb.html,,new,MacBook Air 13 256GB 2020,1560 x 1600,13,retina,"Intel Core i3 2 nhân, công nghệ Turbo Boost tối đa 3.2GHz, với bộ nhớ đệm L3 cache 4MB",,,Intel Iris Plus Graphics,30.5 x 30.5 x 1.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.25 kg,MacOS,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.990.000 ₫
3,https://cellphones.com.vn/macbook-pro-14-inch-2021.html,,new,Macbook Pro 14 inch 2021,3072 x 1920,16,retina,Hãng không công bố Intel Core i9 Coffee Lake 2.60 GHz,,,card onboard,357.9 mm x 245.9 mm,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,2.0 kg,MacOS,4 x Thunderbolt 3 (USB-C),
4,https://cellphones.com.vn/macbook-air-2020-m1.html,,new,MacBook Air M1 256GB 2020,1560 x 1600,13,retina,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,"GPU 7 nhân, 16 nhân Neural Engine",30.5 x 30.5 x 1.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.25 kg,MacOS,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",26.500.000 ₫
5,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1.html,,new,MacBook Pro 13 Touch Bar M1 256GB 2020,2880 x 1800,15,retina,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,"8 nhân GPU, 16 nhân Neural Engine",34.93 x 24.07 x 1.55,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Four Thunderbolt 3 ports,31.000.000 ₫
6,https://cellphones.com.vn/macbook-pro-2020-13-inch-touch-bar-m1-16gb-512gb.html,,new,MacBook Pro 13 Touch Bar M1 16GB 512GB 2020,2880 x 1800,15,retina,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,8-core GPU,34.93 x 24.07 x 1.55,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Four Thunderbolt 3 ports,43.990.000 ₫
7,https://cellphones.com.vn/imac-2021.html,,,Mac 24 2021,,,,Apple M1 8 nhân,,,GPU 7 nhân,,,,,,,,,,,33.990.000 ₫
8,https://cellphones.com.vn/macbook-air-2020-m1-16gb-512gb.html,,new,MacBook Air M1 16GB 512GB 2020,1560 x 1600,13,retina,8 nhân với 4 nhân hiệu năng cao và 4 nhân tiết kiệm điện,,,"GPU 7 nhân, 16 nhân Neural Engine",30.5 x 30.5 x 1.5,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,1.25 kg,MacOS,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",38.000.000 ₫
9,https://cellphones.com.vn/macbook-pro-13-touchbar-i5-2ghz-512gb-2020.html,,new,Macbook Pro 13 Touch Bar i5 2.0 512GB 2020,2880 x 1800,15,retina,"Intel Core i5 thế hệ thứ 10, tốc độ 2.0GHz tối đa 3.8Ghz, bộ nhớ đệm cache L3 6MB",,,Intel Iris Plus Graphics,34.93 x 24.07 x 1.55,720p FaceTime HD camera,No,No,Mac,"""Wi-Fi 802.11 b/g/n/ac""",yes,"1,83",MacOS,Four Thunderbolt 3 ports,41.500.000 ₫
