bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weigth,wifi
yes,gray,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-myd92-grey.html,MacBook Pro 2020,MacOS,,Thunderbolt,34.090.000,Undefinded,720p FaceTime HD camera,1560 x 1600,512gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myda2-silver.html,MacBook Pro 2020,MacOS,,Thunderbolt,29.490.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-512gb-ssd-mydc2-silver.html,MacBook Pro 2020,MacOS,,Thunderbolt,34.090.000,Undefinded,720p FaceTime HD camera,1560 x 1600,512gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gold,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-256gb-gold-2018-mref2.html,Macbook Air 13″ 256GB Gold 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-256gb-space-gray-2018-mre92.html,Macbook Air 13″ 256GB Space Gray 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-128gb-silver-2018-mrea2.html,Macbook Air 13″ 128GB Silver 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.450.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Undefinded,No,card onboard,https://www.techone.vn/macbook-pro-2020-13-inch-apple-m1-8gb-ram-256gb-ssd-myd82-grey.html,MacBook Pro 2020,MacOS,,Thunderbolt,29.490.000,Undefinded,720p FaceTime HD camera,1560 x 1600,256gb,13,retina,No,undefined,new,Mac,1.3,"""Wi-Fi 802.11 b/g/n/ac"""
yes,space gray,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-128gb-space-gray-2018-mre82.html,Macbook Air 13″ 128GB Space Gray 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",22.350.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,128GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,silver,intel intel Core i5 Dual-Core 1.6GHz Core i5 Dual-Core Intel UHD Graphics 617,No,Intel UHD Graphics 617,https://www.techone.vn/macbook-air-13-256gb-silver-2018-mrec2.html,Macbook Air 13″ 256GB Silver 2018,MacOS,,"2 x Thunderbolt 3 via USB Type-C, 2 x DisplayPort via Type-C,2 x Integrated Speaker,3 x Integrated Microphone, 1 x 1/8″ (3.5 mm) Headphone Output",27.090.000,8gb LPDDR3 SDRAM 2133MHz,720p FaceTime HD camera,1560 x 1600,256GB,13,retina,No,30.5 x 30.5 x 1.5,new,Mac,1.25 kg,"""Wi-Fi 802.11 b/g/n/ac"""
yes,gray,Hãng không công bố Intel Core i9 Coffee Lake 2.60 GHz,No,card onboard,https://www.techone.vn/macbook-pro-16-inch-1tb-2019-mvvk2-chinh-hang-xam.html,Macbook Pro 16 inch 1TB 2019,MacOS,,4 x Thunderbolt 3 (USB-C),58.590.000,Không hỗ trợ nâng cấp 16GB DDR4 (1 khe) 2666 MHz,720p FaceTime HD camera,3072 x 1920,1TB,16,retina,No,357.9 mm x 245.9 mm,new,Mac,2.0 kg,"""Wi-Fi 802.11 b/g/n/ac"""
